uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0360686A;Lycée;Lycée d'Enseignement Agricole Privé Saint Cyran;1 route de Châtillon;36700;Saint-Cyran-du-Jambot;0.0;1.0;;
0400027M;Lycée;Lycée polyvalent Jean Taris;365 avenue Jean Dupaya;40300;Peyrehorade;1.0;0.0;;
0370781Y;Lycée;Lycée d'enseignement général et technologique agricole Tours-Fondettes agrocampus;La Plaine;37230;Fondettes;1.0;1.0;;
0333582P;Lycée;Lycée Val de l'Eyre;6 rue des bouvreuils;33114;Le Barp;1.0;1.0;;
0170029P;Lycée;Lycée polyvalent Léonce Vieljeux;Rue des Gonthières;17026;La Rochelle;1.0;1.0;;
0171418Z;Lycée;Lycée Antoine de Saint-Exupéry;Allée De Lattre de Tassigny;17028;La Rochelle;1.0;1.0;;
0160010Z;Lycée;Lycée Élie Vinet;7 avenue Pierre Mendès France;16300;Barbezieux-Saint-Hilaire;1.0;1.0;;
0690542P;Lycée;Lycée des Chassagnes;13 chemin des Chassagnes;69600;Oullins;1.0;1.0;;
0691659D;Lycée;Lycée Don Bosco;12 montée Saint-Laurent;69322;Lyon;0.0;1.0;;
0610014J;Lycée;Lycée Auguste Chevalier;7 place Burgwedel;61700;Domfront en Poiraie;1.0;1.0;;
0762169V;Lycée;Lycée Pablo Neruda;Chemin des Bruyères;76204;Dieppe;1.0;1.0;;
0421980Z;Lycée;Lycée polyvalent La Salle - Saint Louis - Sainte Barbe site Frankin;10 rue Franklin;42100;Saint-Etienne;1.0;1.0;;
0270003G;Lycée;Lycée Augustin Fresnel;14 rue Kleber Mercier;27301;Bernay;1.0;1.0;;
0690026D;Lycée;Lycée du Parc;1 boulevard Anatole France;69458;Lyon;1.0;0.0;;
0340038G;Lycée;Lycée Joffre;150 Allée de la Citadelle;34060;Montpellier;1.0;1.0;;
0270029K;Lycée;Lycée polyvalent Les Fontenelles;Chemin des Fontenelles;27406;Louviers;1.0;1.0;;
0860009T;Lycée;Lycée André Theuriet;42 rue Duplessis;86400;Civray;1.0;1.0;;
0500127S;Lycée;Lycée technologique le Bon Sauveur;1 rue Elisabeth de Surville;50001;Saint-Lô;0.0;1.0;;
0601194X;Lycée;Institut Charles Quentin;1 rue Sabatier;60350;Pierrefonds;1.0;1.0;;
0850133H;Lycée;Lycée polyvalent Sainte-Marie du Port;95 avenue Charles De Gaulle;85109;Les Sables-d'Olonne;1.0;1.0;;
0260004N;Collège;Collège Sport Nature;Avenue des Coquelicots;26420;La Chapelle-en-Vercors;0.0;0.0;;
0440175B;Lycée;Lycée privé Gabriel Deshayes;4 route de Redon;44530;Saint-Gildas-des-Bois;1.0;1.0;;
0440980B;Lycée;Lycée Briacé;Briacé;44430;Le Landreau;1.0;1.0;;
0131398Z;Lycée;Lycée Maximilien de Sully;52 rue Auguste Blanqui;13006;Marseille;0.0;1.0;;
0760035A;Lycée;Lycée Guy de Maupassant;1575 boulevard Nelson Mandela;76401;Fécamp;1.0;1.0;;
0800011C;Lycée;Lycée Edouard Gand;70 boulevard de Saint-Quentin;80000;Amiens;0.0;1.0;;
0601501F;Collège;Collège Sévigné;20 rue de la Sous-Préfecture;60200;Compiègne;0.0;0.0;;
0492430A;Lycée;Lycée polyvalent Julien GRACQ;Route de l'hippodrome;49601;Beaupréau-en-Mauges;1.0;1.0;;
0240005A;Lycée;Lycée Maine de Biran;108 rue Valette;24108;Bergerac;1.0;1.0;;
0760029U;Lycée;Lycée André Maurois;1 rue de Lorraine;76503;Elbeuf;1.0;1.0;;
0440311Z;Collège;Collège Anne Frank;10 rue de la Mayenne;44800;Saint-Herblain;0.0;0.0;;REP
0060670W;Lycée;Lycée - Institution Sainte-Marie de Chavagnes;4 avenue Windsor;6400;Cannes;1.0;0.0;;
0061852F;Lycée;Lycée La Providence;12 avenue Pierre Isnard;6200;Nice;0.0;1.0;;
0641732K;Lycée;Lycée Saint-John-Perse;2 rue Jules Ferry;64012;Pau;1.0;1.0;;
0831444U;Lycée;Lycée Sainte Jeanne d'Arc;Avenue Dreo;83170;Brignoles;1.0;0.0;;
0110669T;Lycée;Lycée général et technologique agricole Charlemagne;Route de Saint Hilaire;11000;Carcassonne;1.0;1.0;;
0740003B;Lycée;Lycée général Berthollet;9 boulevard du lycée;74008;Annecy;1.0;0.0;;
0241137F;Lycée;Lycée Jay de Beaufort;9 rue de Turenne;24007;Périgueux;1.0;1.0;;
0620051U;Collège;Collège Angellier;13 rue Cazin;62200;Boulogne-sur-Mer;0.0;0.0;;REP
0133334D;Lycée;Lycée général et technologique ORT Léon Bramson;9 rue des Forges;13010;Marseille;1.0;1.0;;
0383475W;Collège;Collège privé soeur Emmanuelle;2 route de Volgeat;38460;Villemoirieu;0.0;0.0;;
0830098F;Lycée;Lycée Externat Saint-Joseph (La Cordeille);2229 route de Faveyrolles;83190;Ollioules;1.0;0.0;;
